PO Line ID,Invoice Posting Date,IR Effective Quantity,IR Amount USD
"4581798286-1",2022-12-14 00:00:00.000,30.00,2700.00
"4581800401-1",2022-12-27 00:00:00.000,4.00,3310.12
"4581800403-1",2022-12-05 00:00:00.000,1.00,30.00
"4581800403-2",2022-12-05 00:00:00.000,3.00,1349.97
"4581800403-2",2022-12-28 00:00:00.000,1.00,449.99
"4581800403-2",2023-01-05 00:00:00.000,4.00,1799.96
"4581800403-3",2022-12-05 00:00:00.000,9.00,55.62
"4581800404-1",2022-12-08 00:00:00.000,30.00,2820.00
"4581800404-2",2022-12-08 00:00:00.000,30.00,2700.00
"4581800404-2",2023-03-19 00:00:00.000,1.00,56.73
"4581800404-2",2023-05-08 00:00:00.000,-1.00,-55.20
"4581800404-3",2022-12-08 00:00:00.000,1.00,719.73
"4581800404-3",2022-12-14 00:00:00.000,3.00,2159.19
"4581800404-3",2023-08-17 00:00:00.000,1.00,719.73
"4581802547-2",2023-02-01 00:00:00.000,19.00,34.20
"4581804178-1",2022-12-05 00:00:00.000,1.00,0.00
"4581804210-1",2022-12-20 00:00:00.000,100.00,407.66
"4581804210-2",2022-12-20 00:00:00.000,48.00,5594.99
"4581804210-3",2022-12-20 00:00:00.000,60.00,12125.29
"4581804210-4",2022-12-20 00:00:00.000,100.00,17960.74
"4581804770-1",2022-12-07 00:00:00.000,1.00,0.01
"4581804770-2",2022-12-07 00:00:00.000,1.00,0.01
"4581804770-3",2022-12-07 00:00:00.000,1.00,0.01
"4581804770-4",2022-12-07 00:00:00.000,1.00,0.01
"4581806344-1",2023-01-15 00:00:00.000,20.00,30.20
"4581806344-2",2023-02-21 00:00:00.000,2.00,2619.84
"4581806550-1",2022-12-16 00:00:00.000,240.00,24211.20
"4581809194-1",2023-02-03 00:00:00.000,1.00,0.01
"4581809194-2",2023-02-03 00:00:00.000,1.00,0.98
"4581809295-1",2022-12-04 00:00:00.000,16680.00,18011.26
"4581809948-1",2022-12-15 00:00:00.000,1.00,2730.32
