po_line_id,transaction_type,posting_date,quantity,cost_impact_qty,cost_impact_amount,amount,transaction_id
4581913928-2,GR,2023-03-28 00:00:00,1.0,0.0,0.0,0.0,4581913928-2-GR-20230328-001
4581913928-2,IR,2023-03-07 00:00:00,1.0,1.0,2402.89,2402.89,4581913928-2-IR-20230307-001
4581913928-3,GR,2023-10-23 00:00:00,1.0,0.0,0.0,0.0,4581913928-3-GR-20231023-001
4581913928-3,IR,2023-10-16 00:00:00,1.0,1.0,1567.47,1567.47,4581913928-3-IR-20231016-001
4581913928-4,GR,2023-03-28 00:00:00,2.0,0.0,0.0,0.0,4581913928-4-GR-20230328-001
4581913928-4,IR,2023-03-07 00:00:00,2.0,2.0,2926.56,2926.56,4581913928-4-IR-20230307-001
4581913928-5,GR,2023-03-28 00:00:00,20.0,0.0,0.0,0.0,4581913928-5-GR-20230328-001
4581913928-5,IR,2023-03-07 00:00:00,20.0,20.0,575.6,575.6,4581913928-5-IR-20230307-001
4581913928-6,GR,2023-03-28 00:00:00,2.0,0.0,0.0,0.0,4581913928-6-GR-20230328-001
4581913928-6,IR,2023-03-07 00:00:00,2.0,2.0,3163.32,3163.32,4581913928-6-IR-20230307-001
