po_line_id,gr_posting_date,gr_effective_quantity,gr_amount_usd
4581800403-2,2023-01-25,5.0,0.0
4581800403-3,2022-12-14,9.0,0.0
4581800404-1,2022-12-13,30.0,0.0
4581800404-2,2022-12-13,30.0,0.0
4581800404-3,2022-12-13,1.0,0.0
4581800404-3,2022-12-29,3.0,0.0
4581800404-3,2023-09-07,1.0,0.0
4581802547-1,2022-12-20,50.0,0.0
4581802547-2,2023-03-03,19.0,0.0
4581804178-1,2023-03-27,1.0,0.01
4581804210-1,2023-01-06,100.0,0.0
4581804210-2,2023-01-06,48.0,0.0
4581804210-3,2023-01-06,60.0,0.0
4581804210-4,2023-01-06,100.0,0.0
4581806344-1,2023-01-23,20.0,0.0
4581806344-2,2023-02-28,2.0,0.0
4581806550-1,2023-01-16,240.0,0.0
4581809194-1,2023-02-28,1.0,0.0
4581809194-2,2023-02-28,1.0,0.0
4581809948-1,2022-12-07,1.0,2793.75
4581809948-2,2022-12-09,70.0,5462.1
4581809983-1,2023-08-10,2.0,0.0
4581809983-10,2023-01-11,4.0,0.0
4581809983-7,2023-03-30,1.0,0.0
4581809983-8,2023-05-17,1.0,0.0
4581809983-9,2023-01-11,6.0,0.0
4581812043-2,2022-12-30,-1.0,0.0
4581812083-2,2023-01-03,-1.0,0.0
4581812102-2,2023-01-03,-1.0,0.0
4581812131-2,2023-01-03,-1.0,0.0
4581813481-1,2022-12-22,3900.0,0.0
4581813481-2,2022-12-22,5.0,0.0
4581813481-3,2022-12-22,5.0,0.0
4581815947-1,2022-12-23,640.0,0.0
4581816062-1,2025-04-24,4.0,3510.0
4581816348-1,2025-04-24,1.0,714.0
4581816348-10,2025-04-24,1.0,1319.5
4581816348-11,2025-04-24,2.0,2516.12
4581816348-12,2025-04-24,1.0,1281.82
4581816348-13,2025-04-24,1.0,996.0
4581816348-14,2025-04-24,1.0,1158.15
4581816348-15,2025-04-24,1.0,476.52
4581816348-16,2025-04-24,1.0,476.52
4581816348-17,2025-04-24,1.0,566.98
4581816348-18,2025-04-24,1.0,482.53
4581816348-19,2025-04-24,4.0,579.12
4581816348-2,2025-04-24,6.0,8073.0
4581816348-20,2025-04-24,4.0,579.12
4581816348-21,2025-04-24,2.0,542.92
