po_line_id,invoice_posting_date,ir_effective_quantity,ir_amount_usd
4581795702-4,2022-12-06,9.0,1787.94
4581795702-7,2023-03-14,3.0,7073.16
4581795702-7,2023-04-24,2.0,4715.44
4581795702-8,2022-12-06,2.0,1015.64
4581795702-9,2022-12-21,1.0,1911.88
4581795702-9,2023-01-16,1.0,1911.88
4581798243-2,2022-12-28,1.0,8650.14
4581798243-2,2023-03-15,4.0,34600.56
4581798286-1,2022-12-14,30.0,2700.0
4581800401-1,2022-12-27,4.0,3310.12
4581800403-1,2022-12-05,1.0,30.0
4581800403-2,2022-12-05,3.0,1349.97
4581800403-2,2022-12-28,1.0,449.99
4581800403-2,2023-01-05,4.0,1799.96
4581800403-3,2022-12-05,9.0,55.62
4581800404-1,2022-12-08,30.0,2820.0
4581800404-2,2022-12-08,30.0,2700.0
4581800404-2,2023-03-19,1.0,56.73
4581800404-2,2023-05-08,-1.0,-55.2
4581800404-3,2022-12-08,1.0,719.73
4581800404-3,2022-12-14,3.0,2159.19
4581800404-3,2023-08-17,1.0,719.73
4581802547-2,2023-02-01,19.0,34.2
4581804178-1,2022-12-05,1.0,0.0
4581804210-1,2022-12-20,100.0,407.66
4581804210-2,2022-12-20,48.0,5594.99
4581804210-3,2022-12-20,60.0,12125.29
4581804210-4,2022-12-20,100.0,17960.74
4581804770-1,2022-12-07,1.0,0.01
4581804770-2,2022-12-07,1.0,0.01
4581804770-3,2022-12-07,1.0,0.01
4581804770-4,2022-12-07,1.0,0.01
4581806344-1,2023-01-15,20.0,30.2
4581806344-2,2023-02-21,2.0,2619.84
4581806550-1,2022-12-16,240.0,24211.2
4581809194-1,2023-02-03,1.0,0.01
4581809194-2,2023-02-03,1.0,0.98
4581809295-1,2022-12-04,16680.0,18011.26
4581809948-1,2022-12-15,1.0,2730.32
4581809948-2,2022-12-15,70.0,5288.5
4581809983-1,2023-08-05,2.0,1030.2
4581809983-10,2022-12-19,4.0,717.96
4581809983-7,2023-03-21,1.0,867.31
4581809983-8,2023-05-02,1.0,872.04
4581809983-9,2022-12-19,6.0,1292.88
4581813481-1,2022-12-11,3900.0,31824.0
4581813481-2,2022-12-11,5.0,5076.2
4581813481-3,2022-12-11,5.0,4426.8
4581815947-1,2022-12-07,640.0,14935.4
4581815947-1,2022-12-12,640.0,14935.41
4581815947-1,2023-03-23,-640.0,-14935.4
4581816062-1,2023-05-17,4.0,3510.0
4581816348-1,2023-05-17,1.0,714.0
4581816348-10,2023-05-17,1.0,1319.5
4581816348-11,2023-05-17,2.0,2516.12
4581816348-12,2023-05-17,1.0,1281.82
4581816348-13,2023-05-17,1.0,996.0
4581816348-14,2023-05-17,1.0,1158.15
4581816348-15,2023-05-17,1.0,476.52
4581816348-16,2023-05-17,1.0,476.52
4581816348-17,2023-05-17,1.0,566.98
4581816348-18,2023-05-17,1.0,482.53
4581816348-19,2023-05-17,4.0,579.12
4581816348-2,2023-05-17,6.0,8073.0
4581816348-20,2023-05-17,4.0,579.12
4581816348-21,2023-05-17,2.0,542.92
4581816348-22,2023-05-17,4.0,796.16
4581816348-23,2023-05-17,2.0,386.04
4581816348-24,2023-05-17,2.0,277.42
4581816348-25,2023-05-17,1.0,1791.47
4581816348-26,2023-05-17,1.0,1966.39
4581816348-27,2023-05-17,1.0,3305.47
4581816348-28,2023-05-17,4.0,4560.16
4581816348-29,2023-05-17,4.0,1447.72
4581816348-3,2023-05-17,1.0,1768.0
4581816348-30,2023-05-17,2.0,1202.34
4581816348-31,2023-05-17,1.0,337.81
4581816348-32,2023-05-17,1.0,1692.48
4581816348-33,2023-05-17,1.0,339.77
4581816348-34,2023-05-17,1.0,7531.72
4581816348-35,2023-05-17,1.0,1381.31
4581816348-4,2023-05-17,1.0,3395.25
4581816348-5,2023-05-17,1.0,3756.25
4581816348-6,2023-05-17,1.0,4159.51
4581816348-7,2023-05-17,1.0,5925.14
4581816348-8,2023-05-17,1.0,1288.08
4581816348-9,2023-05-17,1.0,1352.52
4581816556-1,2023-05-09,2.0,99.34
4581816568-1,2022-12-13,22.0,3948.78
4581816568-1,2022-12-21,8.0,1435.92
4581823294-1,2022-12-27,1.0,16.42
4581824586-1,2023-02-11,100.0,775.0
4581824586-2,2022-12-12,100.0,623.0
4581824586-3,2023-02-11,100.0,325.0
4581824703-1,2022-12-22,50.0,1448.0
4581824859-1,2023-03-23,181.5,56272.38
4581824859-1,2023-03-28,117.0,36274.76
4581824859-1,2023-04-03,292.5,89293.58
4581824859-1,2023-04-05,219.0,66855.71
4581824859-1,2023-04-06,63.0,19232.46
4581824859-1,2023-04-07,142.5,43502.0
4581824859-1,2023-04-12,87.0,26559.11
4581824859-1,2023-04-14,258.0,78761.52
4581824859-1,2023-04-15,39.0,11905.81
4581824859-1,2023-04-18,219.0,66855.71
4581824859-1,2023-04-19,117.0,35717.43
4581824859-1,2023-04-21,51.0,15569.13
4581824859-1,2023-04-23,-219.0,-66855.71
4581824859-1,2023-05-03,535.0,31220.78
4581824859-1,2023-05-10,54.0,16289.1
4581824859-1,2023-05-11,79.5,23981.18
4581824859-1,2023-05-14,63.0,19003.96
4581824859-1,2023-05-15,48.0,14479.2
4581824859-1,2023-05-16,238.5,71943.56
4581824859-1,2023-05-19,120.0,36198.01
4581824859-1,2023-05-21,217.5,65608.91
4581824859-1,2023-05-24,315.0,95019.8
