PO Line ID,Invoice Posting Date,IR Effective Quantity,Invoice Amount
4581983444-11,2023-03-06 00:00:00.000,1.0,105.22
4581983444-12,2023-06-08 00:00:00.000,4.0,156.84
4581983444-12,2023-06-19 00:00:00.000,1.0,39.21
4581983444-2,2023-02-21 00:00:00.000,5.0,852.6
4581983444-3,2023-02-21 00:00:00.000,10.0,3667.2
4581983444-4,2023-03-06 00:00:00.000,5.0,747.3
4581983444-5,2023-10-23 00:00:00.000,10.0,831.5
4581983444-6,2023-07-10 00:00:00.000,20.0,208.8
4581983444-7,2023-02-21 00:00:00.000,50.0,52.0
4581983444-8,2023-02-21 00:00:00.000,2.0,111.62
4581983444-9,2023-02-21 00:00:00.000,2.0,84.54
4581983461-1,2023-02-21 00:00:00.000,2.0,711.74
4581983461-10,2023-03-28 00:00:00.000,10.0,12.7
4581983461-12,2023-04-18 00:00:00.000,25.0,160.0
4581983461-13,2023-02-21 00:00:00.000,100.0,46.0
4581983461-14,2023-02-21 00:00:00.000,10.0,61.1
4581983461-16,2023-02-21 00:00:00.000,100.0,147.0
4581983461-18,2023-03-28 00:00:00.000,10.0,55.6
4581983461-19,2023-03-28 00:00:00.000,10.0,21.1
4581983461-2,2023-02-21 00:00:00.000,10.0,71.3
4581983461-20,2023-02-21 00:00:00.000,10.0,19.0
4581983461-3,2023-02-21 00:00:00.000,10.0,10.1
4581983461-4,2023-02-21 00:00:00.000,2.0,54.08
4581983461-5,2023-03-28 00:00:00.000,5.0,16.95
4581983461-6,2023-02-21 00:00:00.000,10.0,927.2
4581983461-7,2023-02-21 00:00:00.000,10.0,1.8
4581983461-8,2023-02-21 00:00:00.000,25.0,126.5
4581983461-9,2023-02-21 00:00:00.000,25.0,34.0
4581983462-1,2023-04-15 00:00:00.000,2.0,925.56
4581983462-10,2023-02-21 00:00:00.000,10.0,270.5
4581983462-11,2023-02-21 00:00:00.000,10.0,14.6
4581983462-12,2023-02-21 00:00:00.000,10.0,64.9
4581983462-13,2023-03-28 00:00:00.000,10.0,33.5
4581983462-2,2023-02-21 00:00:00.000,5.0,47.25
4581983462-3,2023-02-21 00:00:00.000,100.0,12.0
4581983462-4,2023-02-21 00:00:00.000,100.0,23.0
4581983462-5,2023-02-21 00:00:00.000,2.0,93.76
4581983462-6,2023-02-21 00:00:00.000,2.0,304.06
4581983462-7,2023-05-27 00:00:00.000,2.0,2110.92
4581983462-8,2023-03-28 00:00:00.000,20.0,15.2
4581983462-9,2023-02-21 00:00:00.000,10.0,223.2
4581983463-1,2023-02-21 00:00:00.000,50.0,50.5
4581983463-2,2023-02-21 00:00:00.000,10.0,270.6
4581983463-3,2023-02-21 00:00:00.000,10.0,366.1
4581983463-4,2023-03-28 00:00:00.000,10.0,33.5
4581983463-5,2023-02-21 00:00:00.000,10.0,65.4
4581983463-6,2023-02-21 00:00:00.000,10.0,65.3
4581983463-7,2023-02-21 00:00:00.000,10.0,719.0
4581983463-9,2023-02-21 00:00:00.000,10.0,215.3
4581983465-1,2023-05-25 00:00:00.000,2.0,972.98
4581983465-10,2023-02-21 00:00:00.000,20.0,129.4
4581983465-11,2023-02-21 00:00:00.000,20.0,14.2
4581983465-12,2023-02-21 00:00:00.000,5.0,103.7
4581983465-13,2023-07-13 00:00:00.000,20.0,248.4
4581983465-14,2023-03-21 00:00:00.000,80.0,40.8
4581983465-15,2023-03-21 00:00:00.000,80.0,79.2
4581983465-16,2023-03-21 00:00:00.000,20.0,156.2
4581983465-17,2023-02-21 00:00:00.000,100.0,565.0
4581983465-18,2023-02-21 00:00:00.000,20.0,65.2
4581983465-19,2023-02-21 00:00:00.000,100.0,147.0
4581983465-2,2023-05-27 00:00:00.000,4.0,1049.52
4581983465-20,2023-03-21 00:00:00.000,20.0,1.8
4581983465-21,2023-03-21 00:00:00.000,100.0,21.0
4581983465-22,2023-02-21 00:00:00.000,100.0,82.0
4581983465-23,2023-03-21 00:00:00.000,50.0,6.0
4581983465-24,2023-03-21 00:00:00.000,50.0,44.0
4581983465-25,2023-02-21 00:00:00.000,50.0,50.5
4581983465-26,2023-03-21 00:00:00.000,20.0,53.2
4581983465-27,2023-04-15 00:00:00.000,11808.0,1653.12
4581983465-28,2023-02-21 00:00:00.000,20.0,4.0
4581983465-29,2023-02-21 00:00:00.000,20.0,38.8
